0,0,0,0,"R"
0,10000000,1,1,"L"
1,1,0,0,"R"
1,1001011,1,1,"R"
10,10,0,0,"R"
10,10011000,1,0,"R"
11,11,0,0,"R"
11,1001110,1,1,"R"
100,100,0,0,"R"
100,1001101,1,1,"R"
101,101,0,0,"L"
101,1011010,1,1,"L"
110,110,0,0,"L"
110,1110101,1,1,"L"
111,111,0,0,"R"
111,10011001,1,1,"R"
1000,1000,0,0,"R"
1000,10100001,1,1,"R"
1001,1001,0,0,"L"
1001,10110001,1,1,"L"
1010,1010,0,0,"L"
1010,10111000,1,1,"L"
1011,1011,0,0,"R"
1011,1000100,1,0,"L"
1100,1100,0,0,"L"
1100,11000101,1,0,"L"
1101,10011,0,1,"R"
1101,1101,1,1,"R"
1110,1000,0,0,"R"
1110,1110,1,1,"R"
1111,101010,0,0,"R"
1111,1000000,1,0,"R"
10000,10000,0,0,"L"
10000,110111,1,1,"L"
10001,10001,0,0,"L"
10001,10111111,1,1,"L"
10010,100011,0,1,"L"
10010,10001100,1,1,"L"
10011,10011,0,0,"R"
10011,10100011,1,0,"R"
10100,101101,0,0,"R"
10100,10100,1,1,"R"
10101,1100,0,1,"L"
10101,10101,1,1,"L"
10110,10110,0,0,"L"
10110,1101101,1,0,"L"
10111,111100,0,0,"R"
10111,10111,1,1,"L"
11000,110100,0,1,"R"
11000,11000,1,1,"R"
11001,11001,0,0,"R"
11001,1111100,1,1,"R"
11010,10111010,0,1,"R"
11010,11010,1,1,"L"
11011,11101,0,1,"L"
11011,11011,1,0,"R"
11100,11100,0,0,"L"
11100,10010101,1,1,"L"
11101,11101,0,1,"L"
11101,111000,1,0,"L"
11110,1101000,0,0,"R"
11110,11110,1,1,"L"
11111,1101,0,1,"R"
11111,1001010,1,0,"L"
100000,100000,0,0,"L"
100000,10110111,1,1,"L"
100001,10110101,0,1,"L"
100001,100001,1,1,"L"
100010,100010,0,0,"L"
100010,10000111,1,0,"L"
100011,100011,0,0,"L"
100011,10000100,1,1,"L"
100100,100100,0,0,"L"
100100,10001011,1,0,"L"
100101,1001000,0,1,"R"
100101,100110,1,1,"L"
100110,100110,0,1,"R"
100110,1010000,1,1,"R"
100111,10011101,0,0,"R"
100111,100111,1,1,"L"
101000,101000,0,0,"L"
101000,1010111,1,1,"L"
101001,1111,0,0,"R"
101001,101001,1,1,"R"
101010,101010,0,1,"R"
101010,1000000,1,1,"R"
101011,1000010,0,0,"R"
101011,1000010,1,1,"R"
101100,10000000,0,0,"R"
101100,101100,1,1,"L"
101101,101110,0,0,"R"
101101,101101,1,1,"R"
101110,100001,0,0,"L"
101110,101110,1,1,"R"
101111,101,0,0,"L"
101111,11000001,1,1,"L"
110000,110000,0,0,"R"
110000,1110011,1,1,"R"
110001,1011,0,1,"R"
110001,110001,1,1,"L"
110010,110101,0,1,"L"
110010,110010,1,1,"R"
110011,1101000,0,1,"L"
110011,10000,1,0,"L"
110100,110100,0,1,"R"
110100,11011,1,0,"R"
110101,11100,0,1,"L"
110101,110110,1,1,"L"
110110,1110000,0,1,"L"
110110,1110000,1,1,"L"
110111,10000,0,0,"L"
110111,1110001,1,1,"L"
111000,1011,0,1,"R"
111000,111000,1,1,"L"
111001,110011,0,1,"L"
111001,111010,1,1,"L"
111010,111100,0,0,"L"
111010,1100000,1,0,"L"
111011,1010100,0,0,"R"
111011,1010100,1,1,"R"
111100,11111,0,0,"L"
111100,10000000,1,1,"R"
111101,10100,0,0,"R"
111101,111110,1,1,"L"
111110,10100,0,0,"R"
111110,1010011,1,1,"L"
111111,100010,0,0,"L"
111111,100100,1,0,"L"
1000000,100,0,0,"R"
1000000,1000000,1,1,"R"
1000001,1000010,0,1,"L"
1000001,111011,1,1,"R"
1000010,10010010,0,1,"L"
1000010,100001,1,0,"L"
1000011,111,0,0,"R"
1000011,1000011,1,1,"R"
1000100,1000100,0,0,"L"
1000100,10100010,1,0,"L"
1000101,111111,0,0,"L"
1000101,1000101,1,0,"L"
1000110,10010100,0,0,"L"
1000110,1000110,1,1,"R"
1000111,10001100,0,0,"L"
1000111,11111,1,1,"L"
1001000,100101,0,0,"R"
1001000,100101,1,0,"R"
1001001,110110,0,1,"L"
1001001,1001001,1,1,"L"
1001010,100000,0,0,"L"
1001010,1001010,1,1,"L"
1001011,1,0,0,"R"
1001011,10101000,1,1,"R"
1001100,1111,0,0,"R"
1001100,1001100,1,1,"L"
1001101,100,0,0,"R"
1001101,11000100,1,1,"R"
1001110,11,0,0,"R"
1001110,1110110,1,1,"R"
1001111,111,0,0,"R"
1001111,10101,1,1,"L"
1010000,1,0,0,"R"
1010000,1010000,1,1,"R"
1010001,10011110,0,0,"L"
1010001,1010001,1,1,"R"
1010010,1000001,0,0,"R"
1010010,1010010,1,1,"L"
1010011,10100,0,0,"R"
1010011,11000010,1,1,"L"
1010100,101011,0,0,"R"
1010100,101011,1,1,"R"
1010101,1,0,0,"R"
1010101,1010110,1,1,"R"
1010110,1,0,0,"R"
